1;1;10.21.10;3:23:42;0.00;0.95;263.85;0.24;40.50;0.08;19.51;0.04;0.001;0.00;5.942;1.54;36.7100;0.000;-120.9790;0.000;94.10;0.04;36.6668;0.000;-120.8518;0.000;80.70;0.03;19.4;112.9;43.0;84.8;1.0;-2.6;0.69;_103_084;0;0;1;10.21.10;3:23:42;257.63;0.43;38.71;0.28;16.33;0.04;249.65;0.74;61.27;0.25;38.35;0.08;288.86;0.12;21.93;0.10;207.4906;0.0001;0.9713;0.0007;0.351;0.007;2.85;0.65907;0.007;22.16;0.11;159.82;0.36;207.481;0.000;7.30;0.36;_103_084;0;2.86;0;1;207.4906;42.16;61.27
2;2;10.21.10;3:26:44;0.00;1.28;39.81;0.12;19.56;0.03;32.79;0.07;0.113;0.02;0.998;0.08;36.8101;0.000;-121.5401;0.000;101.30;0.04;36.7459;0.000;-121.9658;0.000;87.70;0.05;43.3;259.3;71.1;88.6;0.4;-3.4;0.93;_101_011;17;25;2;10.21.10;3:26:44;41.92;0.18;18.39;0.18;30.48;0.08;45.04;0.20;2.14;0.16;36.08;0.11;352.43;0.12;1.81;0.13;207.4927;0.0001;0.2584;0.0023;0.542;0.009;1.85;0.86010;0.002;3.14;0.24;306.95;0.40;207.497;0.003;154.44;0.40;_101_011;0;3.43;0;1;207.4927;197.55;2.14
3;3;10.21.10;4:51:24;0.00;0.13;3.91;1.15;31.27;1.61;18.46;0.91;0.000;0.04;0.140;0.09;37.4043;0.000;-120.8818;0.000;82.30;0.06;37.4056;0.000;-120.8902;0.000;80.10;0.07;62.4;281.7;19.5;81.6;1.3;-0.2;0.34;_044_012;0;0;3;10.21.10;4:51:24;4.88;1.59;30.62;6.50;14.59;1.18;17.46;4.17;25.99;5.58;35.45;1.08;320.13;1.49;10.39;2.46;207.5512;0.0001;0.7837;0.0147;0.592;0.085;1.69;0.53600;0.066;11.23;2.65;247.03;4.44;207.543;0.007;94.57;4.44;_044_012;0;4.02;0;1;207.5512;169.91;25.99
10;10;10.21.10;6:56:14;0.00;0.75;41.88;0.05;12.45;0.07;29.14;0.03;0.002;0.00;6.221;0.89;37.5922;0.000;-121.0374;0.000;99.30;0.05;37.6594;0.000;-121.1530;0.000;81.80;0.05;28.8;306.1;36.3;86.3;0.2;-2.9;0.74;_024_031;2;624;10;10.21.10;6:56:14;42.19;0.05;11.41;0.09;26.75;0.03;43.23;0.06;-4.61;0.09;34.73;0.03;346.64;0.05;-3.54;0.07;207.6374;0.0001;0.3258;0.0008;0.650;0.002;1.54;0.78830;0.001;5.40;0.10;121.75;0.12;27.625;0.001;149.37;0.12;_024_031;0;4.05;0;1;207.6374;195.59;-4.61
11;11;10.21.10;7:13:52;0.00;0.62;34.02;0.19;17.69;0.09;25.99;0.12;0.000;0.00;13.040;0.21;36.4803;0.000;-122.1599;0.000;94.50;0.04;36.5217;0.000;-122.2116;0.000;80.10;0.05;55.2;314.8;24.7;87.3;1.8;-1.3;0.50;_082_064;17;17;11;10.21.10;7:13:52;33.94;0.19;16.76;0.42;23.38;0.11;37.30;0.20;2.98;0.41;35.06;0.09;339.77;0.17;1.99;0.27;207.6495;0.0001;0.4377;0.0028;0.624;0.007;1.60;0.72695;0.003;2.68;0.37;289.33;0.41;207.642;0.006;136.98;0.40;_082_064;0;4.01;0;1;207.6495;189.65;2.98
12;12;10.21.10;7:29:31;0.00;0.26;100.55;0.33;58.47;0.40;58.57;1.18;0.001;0.08;0.124;0.10;38.0393;0.001;-120.9474;0.001;107.70;0.08;37.9561;0.002;-121.0355;0.001;98.50;0.22;50.5;220.0;53.2;102.0;1.5;-0.8;0.61;_024_031;0;0;12;10.21.10;7:29:31;101.40;1.04;58.65;0.78;57.31;1.22;97.26;0.58;35.50;0.82;39.74;1.08;67.22;1.54;56.87;1.36;207.6603;0.0001;0.7985;0.0196;0.229;0.096;4.37;0.81711;0.074;112.57;1.36;235.96;4.31;207.650;0.000;83.61;4.31;_024_031;0;0.79;0;1;207.6603;249.60;35.50
13;13;10.21.10;7:32:01;0.00;0.48;96.35;0.37;15.59;0.07;68.99;1.06;0.826;0.19;1.742;0.19;36.4146;0.000;-120.5855;0.002;115.00;0.08;36.3965;0.000;-120.9135;0.003;103.20;0.20;31.2;266.0;68.6;113.3;0.8;-2.2;0.14;_102_084;8;8;13;10.21.10;7:32:01;96.70;0.38;15.39;0.57;67.73;1.08;96.52;0.37;-7.89;0.57;41.99;1.03;80.61;0.76;-12.80;0.93;207.6621;0.0001;0.6494;0.0208;0.022;0.097;45.92;0.98586;0.061;164.12;1.18;72.56;3.81;27.652;0.006;100.21;3.81;_102_084;0;-0.84;0;1;207.6621;248.86;-7.89
14;14;10.21.10;7:46:24;0.00;0.28;49.82;1.35;30.22;0.83;43.51;1.92;0.718;0.13;2.569;1.16;37.2339;0.001;-120.4991;0.001;98.10;0.09;37.2418;0.001;-120.5445;0.002;87.30;0.33;54.3;282.3;21.2;90.4;1.3;-0.9;0.71;_044_012;0;0;14;10.21.10;7:46:24;49.66;1.23;30.17;1.88;41.94;2.01;55.18;1.14;11.48;1.84;39.41;1.49;11.19;2.29;12.22;2.01;207.6720;0.0001;0.1070;0.0179;0.258;0.134;3.87;0.97235;0.016;37.39;6.37;324.15;3.04;207.662;0.003;171.81;3.05;_044_012;0;1.66;0;1;207.6720;207.51;11.48
15;15;10.21.10;7:51:40;0.00;0.75;92.60;0.12;21.53;0.12;64.97;0.05;0.001;0.01;0.947;0.28;37.8354;0.000;-122.3602;0.001;120.80;0.10;37.8039;0.000;-122.8288;0.001;96.20;0.06;17.8;265.0;59.9;107.0;-1.6;-4.3;0.56;_032_023;0;0;15;10.21.10;7:51:40;92.91;0.11;21.39;0.12;63.69;0.05;92.71;0.10;-2.02;0.12;39.06;0.07;73.15;0.16;-3.30;0.19;207.6756;0.0001;0.4661;0.0023;0.289;0.006;3.46;0.86525;0.003;175.38;0.27;98.43;0.27;27.666;0.001;126.09;0.27;_032_023;0;0.69;0;1;207.6756;245.03;-2.02
16;16;10.21.10;8:03:04;0.00;0.25;94.59;0.63;16.32;0.17;68.21;0.47;0.000;0.01;0.153;0.42;37.0198;0.000;-121.8162;0.000;108.10;0.11;37.0213;0.000;-121.9817;0.001;99.90;0.10;40.0;270.6;61.4;103.4;2.0;0.0;0.58;_042_011;8;8;16;10.21.10;8:03:04;94.86;0.67;16.15;0.65;66.96;0.49;94.70;0.65;-7.21;0.65;41.78;0.49;77.48;1.06;-11.60;1.04;207.6835;0.0001;0.5926;0.0181;0.041;0.046;24.20;0.97551;0.028;164.96;1.33;79.61;2.37;27.674;0.004;107.28;2.37;_042_011;0;-0.71;0;1;207.6835;247.02;-7.21
17;17;10.21.10;8:06:30;0.00;0.39;30.30;0.16;12.90;0.09;23.34;0.13;0.002;0.01;0.181;0.05;37.1388;0.000;-121.6516;0.000;88.10;0.03;37.1719;0.000;-121.6527;0.000;79.90;0.02;88.4;358.4;24.3;81.0;2.3;1.1;0.86;_042_014_011_041;0;0;17;10.21.10;8:06:30;29.33;0.19;11.33;0.55;20.52;0.14;31.26;0.22;-0.62;0.54;35.48;0.09;333.90;0.20;-0.36;0.31;207.6859;0.0001;0.5453;0.0032;0.590;0.008;1.70;0.67829;0.004;0.44;0.32;96.83;0.53;27.681;0.255;124.51;0.44;_042_014_011_041;0;3.91;0;1;207.6859;183.57;-0.62
